created_at,voterID,message,selection1,selection2,selection3,selection4,selection5,selection6,voting_power
2024-06-14 06:37:39.729,yj42395ry4qj3ymhjn6y84wlyyjnm777xrmlgy32,"{""params"":[""joshuaStone"",""mauroAgustnAndreoli"",""cardanoAtlanticCouncil""],""timestamp"":1718346990470}",joshuaStone,mauroAgustnAndreoli,cardanoAtlanticCouncil,,,,32150261640
2024-06-14 06:39:42.648,yxvlw5908qy0n323yxzwqfr84r2y5wjgvq6ylvqyr25l,"{""params"":[""cardanoAtlanticCouncil"",""mauroAgustnAndreoli"",""lloydDuhon""],""timestamp"":1718347132222}",cardanoAtlanticCouncil,mauroAgustnAndreoli,lloydDuhon,,,,9121585198
2024-06-14 06:42:07.891,9hjgq9y8yyrqql7y9xhqfh9g5yrnx2032r3n74yw2fhx,"{""params"":[""cardanoJapan"",""cardanoAtlanticCouncil"",""easternCardanoCouncil"",""scientificAnalyticalToolsLlc"",""cardanoConfederationOfEmergingEconomies""],""timestamp"":1718347321942}",cardanoJapan,cardanoAtlanticCouncil,easternCardanoCouncil,scientificAnalyticalToolsLlc,cardanoConfederationOfEmergingEconomies,,774050104
2024-06-14 06:43:41.908,x686gmy734m5fryxjql5zvw02j703yyjngy2jx9yvqn4ywrl,"{""params"":[""johnnyKelly"",""easternCardanoCouncil"",""joshuaStone"",""cardanoAtlanticCouncil"",""lloydDuhon"",""mauroAgustnAndreoli""],""timestamp"":1718347413864}",johnnyKelly,easternCardanoCouncil,joshuaStone,cardanoAtlanticCouncil,lloydDuhon,mauroAgustnAndreoli,87566329
2024-06-14 06:44:15.612,xh7l77yz5x7f6hgy9y4z9w056jgrgm28yv4n3yz495rv,"{""params"":[""cardanoJapan"",""cardanoAtlanticCouncil"",""easternCardanoCouncil""],""timestamp"":1718347429048}",cardanoJapan,cardanoAtlanticCouncil,easternCardanoCouncil,,,,19583164793114
2024-06-14 06:44:38.79,xgywfy7mnzfv82lz32y99qyy9gfmy6qzf7r6ghrwlwj,"{""params"":[""lloydDuhon"",""cardanoAtlanticCouncil"",""joshuaStone"",""mauroAgustnAndreoli"",""cardanoConfederationOfEmergingEconomies"",""easternCardanoCouncil""],""timestamp"":1718347474289}",lloydDuhon,cardanoAtlanticCouncil,joshuaStone,mauroAgustnAndreoli,cardanoConfederationOfEmergingEconomies,easternCardanoCouncil,1800458235
2024-06-14 06:44:57.439,xgywfy7mnzfv82lz32y99qyy9gfmy6qzf7r6ghrwlwj,"{""params"":[""lloydDuhon"",""cardanoAtlanticCouncil"",""joshuaStone"",""mauroAgustnAndreoli"",""cardanoConfederationOfEmergingEconomies"",""easternCardanoCouncil""],""timestamp"":1718347493668}",lloydDuhon,cardanoAtlanticCouncil,joshuaStone,mauroAgustnAndreoli,cardanoConfederationOfEmergingEconomies,easternCardanoCouncil,1800458235
2024-06-14 06:45:09.633,x5xv5jzyyhnqv7y6y2n5z4nml3vqyg5m4m6wgfrql,"{""params"":[""joshuaStone""],""timestamp"":1718347501002}",joshuaStone,,,,,,283740372
2024-06-14 06:46:03.246,yr27gjxg43v7vqyfxm5rj8qnf0qyhxn9vq0mry,"{""params"":[""cardanoJapan"",""cardanoAtlanticCouncil"",""easternCardanoCouncil""],""timestamp"":1718347547819}",cardanoJapan,cardanoAtlanticCouncil,easternCardanoCouncil,,,,8281177273314
2024-06-14 06:48:11.904,yym9hjf3n9y92mx78y30yl4jmwvxrhg5yx7xq788yy3mxrx,"{""params"":[""cardanoAtlanticCouncil""],""timestamp"":1718347674664}",cardanoAtlanticCouncil,,,,,,43355157119
2024-06-14 06:49:05.248,8w4yglj0g56y6g9y7h757w7mzygv8wxzqym4y96jqwyny,"{""params"":[""cardanoAtlanticCouncil"",""lloydDuhon"",""easternCardanoCouncil""],""timestamp"":1718347726476}",cardanoAtlanticCouncil,lloydDuhon,easternCardanoCouncil,,,,157919513542
2024-06-14 06:49:41.936,yh3y687f332qrn56mvl084m5gy2558y9xlxqf29qyj,"{""params"":[""inoNpo"",""cardanoJapan"",""scientificAnalyticalToolsLlc"",""cardanoConfederationOfEmergingEconomies"",""joshuaStone"",""johnnyKelly""],""timestamp"":1718347772165}",inoNpo,cardanoJapan,scientificAnalyticalToolsLlc,cardanoConfederationOfEmergingEconomies,joshuaStone,johnnyKelly,125885556
2024-06-14 06:50:36.756,xhrwznzh6vyhgh9888j9nyffffx6yhjy5yn95805gf37,"{""params"":[""joshuaStone""],""timestamp"":1718347818155}",joshuaStone,,,,,,226346744
2024-06-14 06:51:19.912,xy8lmy048yv8y6v2g8fy3r24vvlyn6rynzqqgr9vry,"{""params"":[""johnnyKelly"",""easternCardanoCouncil"",""joshuaStone"",""cardanoAtlanticCouncil"",""lloydDuhon"",""mauroAgustnAndreoli""],""timestamp"":1718347813366}",johnnyKelly,easternCardanoCouncil,joshuaStone,cardanoAtlanticCouncil,lloydDuhon,mauroAgustnAndreoli,2406546684
2024-06-14 06:51:29.207,y5x6mhvhrxy7yygymvzyyzwmhz8qgmvm7zy99n89jv09,"{""params"":[""joshuaStone""],""timestamp"":1718347875573}",joshuaStone,,,,,,240071136
2024-06-14 06:51:33.578,yyyv7ngry0hn0y7qy8952n27gyq3lgjw9qyq8zhjrq,"{""params"":[""cardanoAtlanticCouncil"",""joshuaStone"",""easternCardanoCouncil"",""cardanoConfederationOfEmergingEconomies""],""timestamp"":1718347881169}",cardanoAtlanticCouncil,joshuaStone,easternCardanoCouncil,cardanoConfederationOfEmergingEconomies,,,15318935587
2024-06-14 06:52:06.979,xqyhx39w0mvlxgr2ny63gm779205gzvj382yqy0yyx,"{""params"":[""cardanoAtlanticCouncil"",""cardanoConfederationOfEmergingEconomies""],""timestamp"":1718347911954}",cardanoAtlanticCouncil,cardanoConfederationOfEmergingEconomies,,,,,12014875707
2024-06-14 06:52:17.454,8xfzffj6394lyzzqrxvrv8lnnfw09y8n0m3f0y3qlm0q7,"{""params"":[""johnnyKelly"",""easternCardanoCouncil"",""joshuaStone"",""cardanoAtlanticCouncil"",""lloydDuhon"",""mauroAgustnAndreoli""],""timestamp"":1718347906586}",johnnyKelly,easternCardanoCouncil,joshuaStone,cardanoAtlanticCouncil,lloydDuhon,mauroAgustnAndreoli,4351481891
2024-06-14 06:52:27.302,y5x6mhvhrxy7yygymvzyyzwmhz8qgmvm7zy99n89jv09,"{""params"":[""joshuaStone""],""timestamp"":1718347931556}",joshuaStone,,,,,,240071136
2024-06-14 06:53:05.793,y5x6mhvhrxy7yygymvzyyzwmhz8qgmvm7zy99n89jv09,"{""params"":[""joshuaStone""],""timestamp"":1718347970502}",joshuaStone,,,,,,240071136
2024-06-14 06:53:48.144,y0f73xywqx0g2fy4h73yfq63g3njjvl528yjz3vqvyyn,"{""params"":[""joshuaStone"",""lloydDuhon"",""mauroAgustnAndreoli""],""timestamp"":1718347999318}",joshuaStone,lloydDuhon,mauroAgustnAndreoli,,,,90203763449
2024-06-14 06:56:50.396,9jhlxm70myzw6yln399523y04ggx7nf672yyy3qwl,"{""params"":[""cardanoAtlanticCouncil"",""joshuaStone"",""easternCardanoCouncil"",""cardanoConfederationOfEmergingEconomies""],""timestamp"":1718348202056}",cardanoAtlanticCouncil,joshuaStone,easternCardanoCouncil,cardanoConfederationOfEmergingEconomies,,,15277177013
2024-06-14 06:57:51.48,8rqjy560gxvgy7h58hl368gzx87lz0v9yy7zygzrz86,"{""params"":[""joshuaStone""],""timestamp"":1718348265815}",joshuaStone,,,,,,20782552
